Method,Turbine,Year,version,RMSE,NLPD,Runtime
IEC Binning,38,2017,x,4.278140128506769,NA,1.1535
IEC Binning,39,2017,x,3.552068659250051,NA,1.0718
IEC Binning,40,2017,x,4.212610142570858,NA,1.0988
IEC Binning,41,2017,x,5.434332475012419,NA,1.1396
IEC Binning,42,2017,x,3.4861782593664294,NA,1.0264
IEC Binning,43,2017,x,3.2090944881272176,NA,1.0497
IEC Binning,44,2017,x,5.785796591405512,NA,1.0552
TwinGP,38,2017,x,3.834125775932289,3.255279825504172,114.7919
TwinGP,39,2017,x,2.8013806893645654,2.7764717027211563,116.5402
TwinGP,40,2017,x,3.5622902292158485,3.166799136112158,126.1227
TwinGP,41,2017,x,5.002089846365374,6.115133678126024,125.6953
TwinGP,42,2017,x,2.662201673833102,2.4706152399653343,138.2887
TwinGP,43,2017,x,2.8058844779688092,2.414987833821573,136.3594
TwinGP,44,2017,x,5.507707543765703,4.805593945154869,133.7443
TwinGP,38,2017,xs,3.143221139362405,2.556459787253708,113.638
TwinGP,39,2017,xs,4.689984553154703,3.0224470923109923,103.7132
TwinGP,40,2017,xs,3.4786954275335953,2.628400723260752,109.3761
TwinGP,41,2017,xs,6.182298228476914,3.0499792859391777,110.0339
TwinGP,42,2017,xs,4.189501068173428,3.100294503112507,112.5047
TwinGP,43,2017,xs,5.432661658453726,3.3706613014535027,105.9752
TwinGP,44,2017,xs,6.0882421280008385,4.874443371429138,94.5324
